measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,66,Brunei Darussalam,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,3.0941188953312095,8.532741413501306,0.32121782451160685
1,Deaths,8,Taiwan (Province of China),3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,32.88715787363231,62.12663531540527,9.564549514056846
1,Deaths,8,Taiwan (Province of China),3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.0403858809478057,0.07551361458958478,0.011454966140383195
1,Deaths,8,Taiwan (Province of China),3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,3.3470561143731055,6.322873365854904,0.9734220286002626
1,Deaths,164,Nepal,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,3419.4424233569216,4397.169380827318,2520.125479439066
1,Deaths,164,Nepal,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.190249440154294,0.22596901991351492,0.15537547923356937
1,Deaths,164,Nepal,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,114.13482346033476,146.76958663723366,84.11724517685973
1,Deaths,29,Tonga,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,1.500494348140339,2.676101346224457,0.6351659923611797
1,Deaths,29,Tonga,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.047661375975559736,0.07981241529472147,0.021968801295431606
1,Deaths,29,Tonga,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,12.37405551932681,22.068877949835155,5.23799324083188
1,Deaths,10,Cambodia,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,2079.180991506001,2996.606740299516,1410.7909125186372
1,Deaths,10,Cambodia,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.17910269718841984,0.2247706428275077,0.13177423828832593
1,Deaths,10,Cambodia,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,117.63165172596628,169.53589027344606,79.8168442081353
1,Deaths,298,American Samoa,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,0.2500571306725109,0.5542298499493586,0.054826619640456195
1,Deaths,298,American Samoa,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.02319060287781131,0.05035942265500802,0.005100380678326799
1,Deaths,298,American Samoa,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,4.831090471197413,10.707691237368348,1.0592473767919246
1,Deaths,162,Bhutan,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,51.12748829845266,76.61422250696661,31.411893131598887
1,Deaths,162,Bhutan,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.11495575341029236,0.15158524268244553,0.08020481098976345
1,Deaths,162,Bhutan,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,78.2454295790643,117.25028847358911,48.07271301156411
1,Deaths,320,Cook Islands,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,0.009117316061745973,0.021079593794287168,0.001633665029098407
1,Deaths,320,Cook Islands,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.013313709773468843,0.030287983326083248,0.0024112758100556545
